UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3 
100654,"R",8610,"R",1414,"R",287,"R",8610,"R",1414,"R",287,"R",17220,"R",1414,"R",574,"R",10128,"R",1414,"R",422,"R",10128,"R",1414,"R",422,"R",20160,"R",1414,"R",840,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8610,"R",1414,"R",10024,"R",8610,"R",1414,"R",10024,"R",8610,"R",1414,"R",10024,"R",8610,"R",1414,"R",10024,.,.,"R",8610,"R",1414,"R",10024,"R",8610,"R",1414,"R",10024,"R",8610,"R",1414,"R",10024,"R",8610,"R",1414,"R",10024,.,.,"R",17220,"R",1414,"R",18634,"R",17220,"R",1414,"R",18634,"R",17220,"R",1414,"R",18634,"R",17220,"R",1414,"R",18634,.,.,"R",1600,"R",1600,"R",1600,"R",2192,"R",9240,"R",9520,"R",9520,"R",11402,"R",3090,"R",3090,"R",3090,"R",3864,"R",9240,"R",9520,"R",9520,"R",11402,"R",3090,"R",3090,"R",3090,"R",3864,"R",3440,"R",3440,"R",3440,"R",4271
100663,"R",8832,"R",0,"R",368,"R",8832,"R",0,"R",368,"R",21864,"R",0,"R",911,"R",8424,"R",0,"R",468,"R",8424,"R",0,"R",468,"R",20556,"R",0,"R",1142,"Y",.,"Y",.,"Y",.,"Y",.,"R",31902,"R",0,"R",74362,"R",0,"R",32134,"R",0,"R",62714,"R",0,"R",29841,"R",0,"R",54012,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",8568,"R",0,"R",8568,"R",8568,"R",0,"R",8568,"R",8832,"R",0,"R",8832,"R",8832,"R",0,"R",8832,.,.,"R",8568,"R",0,"R",8568,"R",8568,"R",0,"R",8568,"R",8832,"R",0,"R",8832,"R",8832,"R",0,"R",8832,.,.,"R",20400,"R",0,"R",20400,"R",20400,"R",0,"R",20400,"R",21216,"R",0,"R",21216,"R",21864,"R",0,"R",21864,.,.,"R",1200,"R",1200,"R",1200,"R",1200,"R",12307,"R",12307,"R",13120,"R",13590,"R",5555,"R",5555,"R",5757,"R",5757,"R",12307,"R",12307,"R",14330,"R",14580,"R",5555,"R",5555,"R",6007,"R",6007,"R",5555,"R",5555,"R",6007,"R",6007
100690,"R",9480,"R",990,"R",455,"R",9480,"R",990,"R",455,"R",9480,"R",990,"R",455,"R",11700,"R",1390,"R",750,"R",11700,"R",1390,"R",750,"R",11700,"R",1390,"R",750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100706,"R",10120,"R",1758,"R",421,"R",10120,"R",1758,"R",421,"R",23012,"R",1758,"R",958,"R",10632,"R",1054,"R",708,"R",10632,"R",1054,"R",708,"R",24430,"R",1054,"R",1628,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9730,"R",1608,"R",11338,"R",9730,"R",1758,"R",11488,"R",10120,"R",1758,"R",11878,"R",10120,"R",1650,"R",11770,.,.,"R",9730,"R",1608,"R",11338,"R",9730,"R",1758,"R",11488,"R",10120,"R",1758,"R",11878,"R",10120,"R",1650,"R",11770,.,.,"R",22126,"R",1608,"R",23734,"R",22126,"R",1758,"R",23884,"R",23012,"R",1758,"R",24770,"R",23012,"R",1650,"R",24662,.,.,"R",2200,"R",2300,"R",2416,"R",2416,"R",10652,"R",10764,"R",11122,"R",11122,"R",4076,"R",4156,"R",4462,"R",4462,"R",10652,"R",10764,"R",11122,"R",11122,"R",4076,"R",4156,"R",4462,"R",4462,"R",4076,"R",4156,"R",4462,"R",4462
100724,"R",8328,"R",2920,"R",347,"R",8328,"R",2920,"R",347,"R",16656,"R",2920,"R",694,"R",7416,"R",2920,"R",412,"R",7416,"R",2920,"R",412,"R",14832,"R",2920,"R",824,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8328,"R",2740,"R",11068,"R",8328,"R",2740,"R",11068,"R",8328,"R",2740,"R",11068,"R",8328,"R",2920,"R",11248,.,.,"R",8328,"R",2740,"R",11068,"R",8328,"R",2740,"R",11068,"R",8328,"R",2740,"R",11068,"R",8328,"R",2920,"R",11248,.,.,"R",16656,"R",2740,"R",19396,"R",16656,"R",2740,"R",19396,"R",16656,"R",2740,"R",19396,"R",16656,"R",2920,"R",19576,.,.,"R",1600,"R",1600,"R",1600,"R",1600,"R",6050,"R",6050,"R",6050,"R",7690,"R",3392,"R",3392,"R",3392,"R",3392,"R",7320,"R",7320,"R",7320,"R",7320,"R",4228,"R",5130,"R",5130,"R",5130,"R",4228,"R",5130,"R",5130,"R",5130
100751,"R",11100,"R",800,"R",545,"R",11100,"R",800,"R",545,"R",32400,"R",800,"R",1425,"R",11100,"R",640,"R",635,"R",11100,"R",640,"R",635,"R",32400,"R",640,"R",1660,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",32134,"R",0,"R",62714,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",24080,"R",300,"R",45570,"R",300,"R",10780,"R",840,"R",11620,"R",10780,"R",840,"R",11620,"R",11100,"R",840,"R",11940,"R",11100,"R",800,"R",11900,.,.,"R",10780,"R",840,"R",11620,"R",10780,"R",840,"R",11620,"R",11100,"R",840,"R",11940,"R",11100,"R",800,"R",11900,.,.,"R",30250,"R",840,"R",31090,"R",30250,"R",840,"R",31090,"R",31460,"R",840,"R",32300,"R",32400,"R",800,"R",33200,.,.,"R",1000,"R",800,"R",800,"R",800,"R",13810,"R",13934,"R",14426,"R",14840,"R",4620,"R",4670,"R",4858,"R",5842,"R",13810,"R",13934,"R",14426,"R",14564,"R",4620,"R",4670,"R",4858,"R",6598,"R",5692,"R",5742,"R",6028,"R",7179
100760,"R",3810,"R",1230,"R",127,"R",3810,"R",1230,"R",127,"R",7620,"R",1230,"R",254,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3990,"R",940,"R",4930,"R",3690,"R",1240,"R",4930,"R",3750,"R",1240,"R",4990,"R",3810,"R",1230,"R",5040,.,.,"R",3990,"R",940,"R",4930,"R",3690,"R",1240,"R",4930,"R",3750,"R",1240,"R",4990,"R",3810,"R",1230,"R",5040,.,.,"R",7920,"R",940,"R",8860,"R",7380,"R",1240,"R",8620,"R",7500,"R",1240,"R",8740,"R",7620,"R",1230,"R",8850,.,.,"R",1000,"R",1000,"R",1250,"R",1020,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10238,"R",10238,"R",14364,"R",15628,"R",4360,"R",4360,"R",6524,"R",7973,"R",4360,"R",4360,"R",6524,"R",7973
100812,"R",7530,"R",2310,"R",251,"R",7530,"R",2310,"R",251,"R",15060,"R",2310,"R",502,"R",8688,"R",1848,"R",362,"R",8688,"R",1848,"R",362,"R",15072,"R",1848,"R",628,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100830,"R",8568,"R",868,"R",357,"R",8568,"R",868,"R",357,"R",19224,"R",868,"R",801,"R",8118,"R",766,"R",451,"R",8118,"R",766,"R",451,"R",18252,"R",766,"R",1014,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7992,"R",868,"R",8860,"R",7992,"R",868,"R",8860,"R",8232,"R",868,"R",9100,"R",8568,"R",868,"R",9436,.,.,"R",7992,"R",868,"R",8860,"R",7992,"R",868,"R",8860,"R",8232,"R",868,"R",9100,"R",8568,"R",868,"R",9436,.,.,"R",17952,"R",868,"R",18820,"R",17952,"R",868,"R",18820,"R",18480,"R",868,"R",19348,"R",19224,"R",868,"R",20092,.,.,"R",1200,"R",1200,"R",1200,"R",1500,"R",6980,"R",7368,"R",7368,"R",7368,"R",3830,"R",3830,"R",4030,"R",4478,"R",10296,"R",10296,"R",10485,"R",12762,"R",3830,"R",3830,"R",4030,"R",4478,"R",3830,"R",3830,"R",4030,"R",4478
100858,"R",10704,"R",1832,"R",446,"R",10704,"R",1832,"R",446,"R",32112,"R",1832,"R",1338,"R",10692,"R",1832,"R",594,"R",10692,"R",1832,"R",594,"R",32076,"R",1832,"R",1782,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",10692,"R",13832,"R",32076,"R",13832,"Y",.,"Y",.,"Y",.,"Y",.,"R",10692,"R",18916,"R",32076,"R",18916,"Y",.,"Y",.,"Y",.,"Y",.,"R",10080,"R",1716,"R",11796,"R",10080,"R",1746,"R",11826,"R",10392,"R",1784,"R",12176,"R",10704,"R",1832,"R",12536,.,.,"R",10080,"R",1716,"R",11796,"R",10080,"R",1746,"R",11826,"R",10392,"R",1784,"R",12176,"R",10704,"R",1832,"R",12536,.,.,"R",30240,"R",1716,"R",31956,"R",30240,"R",1746,"R",31986,"R",31176,"R",1784,"R",32960,"R",32112,"R",1832,"R",33944,.,.,"R",1200,"R",1200,"R",1200,"R",1200,"R",13778,"R",14596,"R",14998,"R",15396,"R",5904,"R",6028,"R",6028,"R",6166,"R",13778,"R",14596,"R",14998,"R",14736,"R",5904,"R",6028,"R",6028,"R",6166,"R",5904,"R",6028,"R",6028,"R",6166
